geneID	Freq
PIN4	1
PIP4P2	1
PIP5K1C	1
PITX2	1
PKM	1
PLAC8	1
PLEKHG2	1
PLEKHM3	1
PLS3	1
PMM2	1
PMVK	1
POC1B	1
POC1B-GALNT4	1
POLDIP3	1
POLE3	1
POLR3A	1
POLR3F	1
POP4	1
POU2F1	1
PPFIBP1	1
PPIH	1
PPIP5K2	1
PPP1R16B	1
PPP1R37	1
PPP2R2A	1
PPP2R3A	1
PPP2R3C	1
PPP5D1	1
PPP6R3	1
PRAF2	1
PREPL	1
PRICKLE4	1
PRKCSH	1
PRKRIP1	1
PRMT3	1
PRMT9	1
PROM1	1
PRPF31	1
PRR14	1
PRR14L	1
PRR19	1
PRRC2A	1
PRRG2	1
PSMA1	1
PSMD9	1
PSMF1	1
PTPN4	1
PTPN9	1
PTPRG	1
PUS10	1
PWWP2A	1
PYDC5	1
QTRT2	1
RAB4B	1
RACGAP1	1
RAD51AP1	1
RAD51C	1
RAD54B	1
RBBP4	1
RBBP5	1
RBL1	1
RBM25	1
RBM28	1
RBM47	1
RBM48	1
RBM8A	1
RBSN	1
RBX1	1
RCAN1	1
RCOR1	1
REL	1
REXO1	1
RFC1	1
RFX4	1
RFX5	1
RGS12	1
RGS3	1
RHBDD2	1
RHD	1
RHOT2	1
RIF1	1
RIOK2	1
RMDN3	1
RNASE9	1
RNASEH1	1
RND1	1
RNF169	1
RNF43	1
RNFT2	1
RPL27	1
RPL3	1
RPL32	1
RPL34	1
RPL39	1
RPL4	1
RPRD1B	1
RPS14	1
RPS18	1
RPS19	1
RPS25	1
RPS26	1
RPS3	1
RUVBL2	1
S100A13	1
SACS	1
SALL2	1
SAR1B	1
SASH1	1
SCNM1	1
SDAD1	1
SEC13	1
SEC14L1	1
SEC16B	1
SEC24A	1
SEM1	1
SEMA6A	1
SENP7	1
SERPINB3	1
SERPINB4	1
SFXN1	1
SGMS2	1
SH3PXD2B	1
SH3RF2	1
SHLD1	1
SHROOM3	1
SIRT2	1
SIRT4	1
SLC25A18	1
SLC25A26	1
SLC25A53	1
SLC2A3	1
SLC35A3	1
SLC35E2B	1
SLC39A3	1
SLC39A9	1
SLC4A1AP	1
SLC7A11	1
SLC7A5	1
SLCO4C1	1
SLX1A	1
SLX1B	1
SMAD3	1
SMARCA2	1
SMARCAD1	1
SMARCD2	1
SMC3	1
SMCR8	1
SMG5	1
SMG7	1
SMG8	1
SMN1	1
SMN2	1
SNF8	1
SNRPB2	1
SNRPE	1
SNX15	1
SOD2	1
SOX6	1
SPAG9	1
SPAST	1
SPC24	1
SPEF2	1
SREK1IP1	1
SRP19	1
SSBP1	1
SSR2	1
ST8SIA4	1
STAG1	1
STAT2	1
STK19	1
STOML1	1
SUPT16H	1
SUPT7L	1
SWT1	1
SYNPO2	1
SYP	1
SYVN1	1
TAF15	1
TAF7	1
TARS2	1
TBC1D13	1
TBC1D16	1
TBC1D17	1
TBL1X	1
TBRG4	1
TCF3	1
TCHP	1
TCN2	1
TCTN3	1
TDGF1	1
TDP2	1
TEX14	1
TFCP2	1
TFPT	1
THBS2	1
THEM4	1
TIA1	1
TIMM10	1
TIMM9	1
TIMP4	1
TIPIN	1
TLN1	1
TM9SF4	1
TMCC1	1
TMEM101	1
TMEM167B	1
TMEM186	1
TMEM259	1
TMEM260	1
TMEM41A	1
TNC	1
TNFAIP6	1
TNKS1BP1	1
TNPO3	1
TNRC6B	1
TOMM40L	1
TOMM6	1
TOP3A	1
TOR1A	1
TP53BP1	1
TPBG	1
TPGS1	1
TPX2	1
TRAK1	1
TRAPPC13	1
TRAPPC4	1
TRAPPC6A	1
TRDMT1	1
TRIM22	1
TRIM23	1
TRMT1	1
TRMT1L	1
TRMT61B	1
TSC1	1
TSGA10IP	1
TSTD2	1
TTC1	1
TTC21B	1
TTC31	1
TTI1	1
TTI2	1
TTLL1	1
TUT1	1
UBA1	1
UBB	1
UBE2B	1
UBE3B	1
UBL7	1
UEVLD	1
UFC1	1
UFD1	1
UGT1A6	1
UNC5D	1
UQCRC2	1
USP30	1
USP35	1
USP39	1
USP48	1
USP49	1
USP53	1
UTP25	1
UTP3	1
VMAC	1
VMO1	1
VOPP1	1
VPS37D	1
VPS52	1
VTA1	1
WASHC2C	1
WDPCP	1
WDR11	1
WDR34	1
WDR36	1
WDR46	1
WDR49	1
WDR60	1
WDR7	1
WDR70	1
WDR75	1
WDR83	1
WDR83OS	1
WLS	1
WTAP	1
WWC2	1
XAB2	1
XK	1
XKR7	1
XRN2	1
YARS2	1
YJU2	1
ZBTB37	1
ZBTB45	1
ZBTB8OS	1
ZC3H6	1
ZCCHC4	1
ZDHHC12	1
ZDHHC6	1
ZFP64	1
ZFPL1	1
ZMIZ2	1
ZNF106	1
ZNF135	1
ZNF175	1
ZNF180	1
ZNF205	1
ZNF256	1
ZNF284	1
ZNF300	1
ZNF335	1
ZNF343	1
ZNF354C	1
ZNF384	1
ZNF408	1
ZNF410	1
ZNF490	1
ZNF524	1
ZNF532	1
ZNF563	1
ZNF589	1
ZNF653	1
ZNF688	1
ZNF791	1
ZNF839	1
ZRANB2	1
ZSCAN10	1
ZSCAN12	1
ZSCAN18	1
ZSCAN25	1
ZWILCH	1
